
Plan name:,SALESFORCE.COM      
Date Range,01/01/2014 - 04/19/2015,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
04/15/2015,SPTN LT TR IDX ADV,CONTRIBUTION,"530.34","38.514"
04/15/2015,SPTN INTL INDEX INS,CONTRIBUTION,"120.53","2.966"
04/15/2015,SPTN EXT MKT IDX ADV,CONTRIBUTION,"120.53","2.069"
04/15/2015,SPTN 500 INDEX INST,CONTRIBUTION,"289.28","3.890"
04/15/2015,LD ABBETT DEV GRTH I,CONTRIBUTION,"72.32","2.627"
04/15/2015,COL/ACORN INTL Z,CONTRIBUTION,"72.32","1.596"
04/10/2015,SPTN INTL INDEX INS,DIVIDEND,"0.36","0.009"
04/10/2015,SPTN EXT MKT IDX ADV,DIVIDEND,"14.47","0.250"
04/10/2015,SPTN 500 INDEX INST,DIVIDEND,"20.95","0.282"
04/01/2015,SPTN LT TR IDX ADV,CONTRIBUTION,"530.34","38.100"
04/01/2015,SPTN INTL INDEX INS,CONTRIBUTION,"120.53","3.060"
04/01/2015,SPTN EXT MKT IDX ADV,CONTRIBUTION,"120.53","2.080"
04/01/2015,SPTN 500 INDEX INST,DIVIDEND,"23.57","0.323"
04/01/2015,SPTN 500 INDEX INST,CONTRIBUTION,"289.28","3.966"
04/01/2015,LD ABBETT DEV GRTH I,CONTRIBUTION,"72.32","2.730"
04/01/2015,COL/ACORN INTL Z,CONTRIBUTION,"72.32","1.653"
03/31/2015,SPTN LT TR IDX ADV,DIVIDEND,"6.14","0.446"
03/30/2015,SPTN LT TR IDX ADV,CONTRIBUTION,"1,167.91","85.063"
03/30/2015,SPTN INTL INDEX INS,CONTRIBUTION,"265.43","6.669"
03/30/2015,SPTN EXT MKT IDX ADV,CONTRIBUTION,"265.43","4.549"
03/30/2015,SPTN 500 INDEX INST,CONTRIBUTION,"637.04","8.587"
03/30/2015,LD ABBETT DEV GRTH I,CONTRIBUTION,"159.26","5.927"
03/30/2015,COL/ACORN INTL Z,CONTRIBUTION,"159.27","3.653"
03/13/2015,SPTN LT TR IDX ADV,CONTRIBUTION,"530.34","39.637"
03/13/2015,SPTN INTL INDEX INS,CONTRIBUTION,"120.53","3.138"
03/13/2015,SPTN EXT MKT IDX ADV,CONTRIBUTION,"120.53","2.112"
03/13/2015,SPTN 500 INDEX INST,CONTRIBUTION,"289.28","3.964"
03/13/2015,LD ABBETT DEV GRTH I,CONTRIBUTION,"72.32","2.736"
03/13/2015,COL/ACORN INTL Z,CONTRIBUTION,"72.32","1.700"
02/27/2015,SPTN LT TR IDX ADV,DIVIDEND,"3.09","0.227"
02/27/2015,SPTN LT TR IDX ADV,CONTRIBUTION,"530.34","38.939"
02/27/2015,SPTN INTL INDEX INS,CONTRIBUTION,"120.53","3.031"
02/27/2015,SPTN EXT MKT IDX ADV,CONTRIBUTION,"120.53","2.100"
02/27/2015,SPTN 500 INDEX INST,CONTRIBUTION,"289.28","3.871"
02/27/2015,LD ABBETT DEV GRTH I,CONTRIBUTION,"72.32","2.757"
02/27/2015,COL/ACORN INTL Z,CONTRIBUTION,"72.32","1.649"
02/13/2015,SPTN LT TR IDX ADV,CONTRIBUTION,"530.34","39.256"
02/13/2015,SPTN INTL INDEX INS,CONTRIBUTION,"120.53","3.098"
02/13/2015,SPTN EXT MKT IDX ADV,CONTRIBUTION,"120.53","2.115"
02/13/2015,SPTN 500 INDEX INST,CONTRIBUTION,"289.28","3.888"
02/13/2015,LD ABBETT DEV GRTH I,CONTRIBUTION,"72.32","2.833"
02/13/2015,COL/ACORN INTL Z,CONTRIBUTION,"72.32","1.679"
